Sample_ID ,Tissue types,Replicates,Tree no.,Timepoints,Time points,Cultivar,Treatment 
P1T1.1ch,Pulp,1,Tree1,Day 0,Day 0,Jonathan,Chitosan
P1T2.1ch,Pulp,1,Tree2,Day 0,Day 0,Jonathan,Chitosan
P1T3.1ch,Pulp,1,Tree3,Day 0,Day 0,Jonathan,Chitosan
P2T1.1ch,Pulp,2,Tree1,Day 0,Day 0,Jonathan,Chitosan
P2T2.1ch,Pulp,2,Tree2,Day 0,Day 0,Jonathan,Chitosan
P2T3.1ch,Pulp,2,Tree3,Day 0,Day 0,Jonathan,Chitosan
P3T1.1ch,Pulp,3,Tree1,Day 0,Day 0,Jonathan,Chitosan
P3T2.1ch,Pulp,3,Tree2,Day 0,Day 0,Jonathan,Chitosan
P3T3.1ch,Pulp,3,Tree3,Day 0,Day 0,Jonathan,Chitosan
S1T1.1ch,Skin,1,Tree1,Day 0,Day 0,Jonathan,Chitosan
S1T2.1ch,Skin,1,Tree2,Day 0,Day 0,Jonathan,Chitosan
S1T3.1ch,Skin,1,Tree3,Day 0,Day 0,Jonathan,Chitosan
S2T1.1ch,Skin,2,Tree1,Day 0,Day 0,Jonathan,Chitosan
S2T2.1ch,Skin,2,Tree2,Day 0,Day 0,Jonathan,Chitosan
S2T3.1ch,Skin,2,Tree3,Day 0,Day 0,Jonathan,Chitosan
S3T1.1ch,Skin,3,Tree1,Day 0,Day 0,Jonathan,Chitosan
S3T2.1ch,Skin,3,Tree2,Day 0,Day 0,Jonathan,Chitosan
S3T3.1ch,Skin,3,Tree3,Day 0,Day 0,Jonathan,Chitosan
P1T1.1G,Pulp,1,Tree1,Day 0,Day 0,Gala,untreated
P1T2.1G,Pulp,1,Tree2,Day 0,Day 0,Gala,untreated
P1T3.1G,Pulp,1,Tree3,Day 0,Day 0,Gala,untreated
P2T1.1G,Pulp,2,Tree1,Day 0,Day 0,Gala,untreated
P2T2.1G,Pulp,2,Tree2,Day 0,Day 0,Gala,untreated
P2T3.1G,Pulp,2,Tree3,Day 0,Day 0,Gala,untreated
P3T1.1G,Pulp,3,Tree1,Day 0,Day 0,Gala,untreated
P3T2.1G,Pulp,3,Tree2,Day 0,Day 0,Gala,untreated
P3T3.1G,Pulp,3,Tree3,Day 0,Day 0,Gala,untreated
P4T1.1G,Pulp,4,Tree1,Day 0,Day 0,Gala,untreated
P4T2.1G,Pulp,4,Tree2,Day 0,Day 0,Gala,untreated
P4T3.1G,Pulp,4,Tree3,Day 0,Day 0,Gala,untreated
P5T1.1G,Pulp,5,Tree1,Day 0,Day 0,Gala,untreated
P5T2.1G,Pulp,5,Tree2,Day 0,Day 0,Gala,untreated
P5T3.1G,Pulp,5,Tree3,Day 0,Day 0,Gala,untreated
S1T1.1G,Skin,1,Tree1,Day 0,Day 0,Gala,untreated
S1T2.1G,Skin,1,Tree2,Day 0,Day 0,Gala,untreated
S1T3.1G,Skin,1,Tree3,Day 0,Day 0,Gala,untreated
S2T1.1G,Skin,2,Tree1,Day 0,Day 0,Gala,untreated
S2T2.1G,Skin,2,Tree2,Day 0,Day 0,Gala,untreated
S2T3.1G,Skin,2,Tree3,Day 0,Day 0,Gala,untreated
S3T1.1G,Skin,3,Tree1,Day 0,Day 0,Gala,untreated
S3T2.1G,Skin,3,Tree2,Day 0,Day 0,Gala,untreated
S3T3.1G,Skin,3,Tree3,Day 0,Day 0,Gala,untreated
S4T1.1G,Skin,4,Tree1,Day 0,Day 0,Gala,untreated
S4T2.1G,Skin,4,Tree2,Day 0,Day 0,Gala,untreated
S4T3.1G,Skin,4,Tree3,Day 0,Day 0,Gala,untreated
S5T1.1G,Skin,5,Tree1,Day 0,Day 0,Gala,untreated
S5T2.1G,Skin,5,Tree2,Day 0,Day 0,Gala,untreated
S5T3.1G,Skin,5,Tree3,Day 0,Day 0,Gala,untreated
P1T1.1J,Pulp,1,Tree1,Day 0,Day 0,Jonathan,untreated
P1T2.1J,Pulp,1,Tree2,Day 0,Day 0,Jonathan,untreated
P1T3.1J,Pulp,1,Tree3,Day 0,Day 0,Jonathan,untreated
P2T1.1J,Pulp,2,Tree1,Day 0,Day 0,Jonathan,untreated
P2T2.1J,Pulp,2,Tree2,Day 0,Day 0,Jonathan,untreated
P2T3.1J,Pulp,2,Tree3,Day 0,Day 0,Jonathan,untreated
P3T1.1J,Pulp,3,Tree1,Day 0,Day 0,Jonathan,untreated
P3T2.1J,Pulp,3,Tree2,Day 0,Day 0,Jonathan,untreated
P3T3.1J,Pulp,3,Tree3,Day 0,Day 0,Jonathan,untreated
P4T1.1J,Pulp,4,Tree1,Day 0,Day 0,Jonathan,untreated
P4T2.1J,Pulp,4,Tree2,Day 0,Day 0,Jonathan,untreated
P4T3.1J,Pulp,4,Tree3,Day 0,Day 0,Jonathan,untreated
P5T1.1J,Pulp,5,Tree1,Day 0,Day 0,Jonathan,untreated
P5T2.1J,Pulp,5,Tree2,Day 0,Day 0,Jonathan,untreated
P5T3.1J,Pulp,5,Tree3,Day 0,Day 0,Jonathan,untreated
S1T1.1J,Skin,1,Tree1,Day 0,Day 0,Jonathan,untreated
S1T2.1J,Skin,1,Tree2,Day 0,Day 0,Jonathan,untreated
S1T3.1J,Skin,1,Tree3,Day 0,Day 0,Jonathan,untreated
S2T1.1J,Skin,2,Tree1,Day 0,Day 0,Jonathan,untreated
S2T2.1J,Skin,2,Tree2,Day 0,Day 0,Jonathan,untreated
S2T3.1J,Skin,2,Tree3,Day 0,Day 0,Jonathan,untreated
S3T1.1J,Skin,3,Tree1,Day 0,Day 0,Jonathan,untreated
S3T2.1J,Skin,3,Tree2,Day 0,Day 0,Jonathan,untreated
S3T3.1J,Skin,3,Tree3,Day 0,Day 0,Jonathan,untreated
S4T1.1J,Skin,4,Tree1,Day 0,Day 0,Jonathan,untreated
S4T2.1J,Skin,4,Tree2,Day 0,Day 0,Jonathan,untreated
S4T3.1J,Skin,4,Tree3,Day 0,Day 0,Jonathan,untreated
S5T1.1J,Skin,5,Tree1,Day 0,Day 0,Jonathan,untreated
S5T2.1J,Skin,5,Tree2,Day 0,Day 0,Jonathan,untreated
S5T3.1J,Skin,5,Tree3,Day 0,Day 0,Jonathan,untreated
P1T1.2ch,Pulp,1,Tree1,Day 20,Day 20,Jonathan,Chitosan
P1T2.2ch,Pulp,1,Tree2,Day 20,Day 20,Jonathan,Chitosan
P1T3.2ch,Pulp,1,Tree3,Day 20,Day 20,Jonathan,Chitosan
P2T1.2ch,Pulp,2,Tree1,Day 20,Day 20,Jonathan,Chitosan
P2T2.2ch,Pulp,2,Tree2,Day 20,Day 20,Jonathan,Chitosan
P2T3.2ch,Pulp,2,Tree3,Day 20,Day 20,Jonathan,Chitosan
P3T1.2ch,Pulp,3,Tree1,Day 20,Day 20,Jonathan,Chitosan
P3T2.2ch,Pulp,3,Tree2,Day 20,Day 20,Jonathan,Chitosan
P3T3.2ch,Pulp,3,Tree3,Day 20,Day 20,Jonathan,Chitosan
S1T1.2ch,Skin,1,Tree1,Day 20,Day 20,Jonathan,Chitosan
S1T2.2ch,Skin,1,Tree2,Day 20,Day 20,Jonathan,Chitosan
S1T3.2ch,Skin,1,Tree3,Day 20,Day 20,Jonathan,Chitosan
S2T1.2ch,Skin,2,Tree1,Day 20,Day 20,Jonathan,Chitosan
S2T2.2ch,Skin,2,Tree2,Day 20,Day 20,Jonathan,Chitosan
S2T3.2ch,Skin,2,Tree3,Day 20,Day 20,Jonathan,Chitosan
S3T1.2ch,Skin,3,Tree1,Day 20,Day 20,Jonathan,Chitosan
S3T2.2ch,Skin,3,Tree2,Day 20,Day 20,Jonathan,Chitosan
S3T3.2ch,Skin,3,Tree3,Day 20,Day 20,Jonathan,Chitosan
P1T1.2G,Pulp,1,Tree1,Day 14,Day 10,Gala,untreated
P1T2.2G,Pulp,1,Tree2,Day 14,Day 10,Gala,untreated
P1T3.2G,Pulp,1,Tree3,Day 14,Day 10,Gala,untreated
P2T1.2G,Pulp,2,Tree1,Day 14,Day 10,Gala,untreated
P2T2.2G,Pulp,2,Tree2,Day 14,Day 10,Gala,untreated
P2T3.2G,Pulp,2,Tree3,Day 14,Day 10,Gala,untreated
P3T1.2G,Pulp,3,Tree1,Day 14,Day 10,Gala,untreated
P3T2.2G,Pulp,3,Tree2,Day 14,Day 10,Gala,untreated
P3T3.2G,Pulp,3,Tree3,Day 14,Day 10,Gala,untreated
P4T1.2G,Pulp,4,Tree1,Day 14,Day 10,Gala,untreated
P4T2.2G,Pulp,4,Tree2,Day 14,Day 10,Gala,untreated
P4T3.2G,Pulp,4,Tree3,Day 14,Day 10,Gala,untreated
P5T1.2G,Pulp,5,Tree1,Day 14,Day 10,Gala,untreated
P5T2.2G,Pulp,5,Tree2,Day 14,Day 10,Gala,untreated
P5T3.2G,Pulp,5,Tree3,Day 14,Day 10,Gala,untreated
S1T1.2G,Skin,1,Tree1,Day 14,Day 10,Gala,untreated
S1T2.2G,Skin,1,Tree2,Day 14,Day 10,Gala,untreated
S1T3.2G,Skin,1,Tree3,Day 14,Day 10,Gala,untreated
S2T1.2G,Skin,2,Tree1,Day 14,Day 10,Gala,untreated
S2T2.2G,Skin,2,Tree2,Day 14,Day 10,Gala,untreated
S2T3.2G,Skin,2,Tree3,Day 14,Day 10,Gala,untreated
S3T1.2G,Skin,3,Tree1,Day 14,Day 10,Gala,untreated
S3T2.2G,Skin,3,Tree2,Day 14,Day 10,Gala,untreated
S3T3.2G,Skin,3,Tree3,Day 14,Day 10,Gala,untreated
S4T1.2G,Skin,4,Tree1,Day 14,Day 10,Gala,untreated
S4T2.2G,Skin,4,Tree2,Day 14,Day 10,Gala,untreated
S4T3.2G,Skin,4,Tree3,Day 14,Day 10,Gala,untreated
S5T1.2G,Skin,5,Tree1,Day 14,Day 10,Gala,untreated
S5T2.2G,Skin,5,Tree2,Day 14,Day 10,Gala,untreated
S5T3.2G,Skin,5,Tree3,Day 14,Day 10,Gala,untreated
P1T1.2J,Pulp,1,Tree1,Day 14,Day 14,Jonathan,untreated
P1T2.2J,Pulp,1,Tree2,Day 14,Day 14,Jonathan,untreated
P1T3.2J,Pulp,1,Tree3,Day 14,Day 14,Jonathan,untreated
P2T1.2J,Pulp,2,Tree1,Day 14,Day 14,Jonathan,untreated
P2T2.2J,Pulp,2,Tree2,Day 14,Day 14,Jonathan,untreated
P2T3.2J,Pulp,2,Tree3,Day 14,Day 14,Jonathan,untreated
P3T1.2J,Pulp,3,Tree1,Day 14,Day 14,Jonathan,untreated
P3T2.2J,Pulp,3,Tree2,Day 14,Day 14,Jonathan,untreated
P3T3.2J,Pulp,3,Tree3,Day 14,Day 14,Jonathan,untreated
P4T1.2J,Pulp,4,Tree1,Day 14,Day 14,Jonathan,untreated
P4T2.2J,Pulp,4,Tree2,Day 14,Day 14,Jonathan,untreated
P4T3.2J,Pulp,4,Tree3,Day 14,Day 14,Jonathan,untreated
P5T1.2J,Pulp,5,Tree1,Day 14,Day 14,Jonathan,untreated
P5T2.2J,Pulp,5,Tree2,Day 14,Day 14,Jonathan,untreated
P5T3.2J,Pulp,5,Tree3,Day 14,Day 14,Jonathan,untreated
S1T1.2J,Skin,1,Tree1,Day 14,Day 14,Jonathan,untreated
S1T2.2J,Skin,1,Tree2,Day 14,Day 14,Jonathan,untreated
S1T3.2J,Skin,1,Tree3,Day 14,Day 14,Jonathan,untreated
S2T1.2J,Skin,2,Tree1,Day 14,Day 14,Jonathan,untreated
S2T2.2J,Skin,2,Tree2,Day 14,Day 14,Jonathan,untreated
S2T3.2J,Skin,2,Tree3,Day 14,Day 14,Jonathan,untreated
S3T1.2J,Skin,3,Tree1,Day 14,Day 14,Jonathan,untreated
S3T2.2J,Skin,3,Tree2,Day 14,Day 14,Jonathan,untreated
S3T3.2J,Skin,3,Tree3,Day 14,Day 14,Jonathan,untreated
S4T1.2J,Skin,4,Tree1,Day 14,Day 14,Jonathan,untreated
S4T2.2J,Skin,4,Tree2,Day 14,Day 14,Jonathan,untreated
S4T3.2J,Skin,4,Tree3,Day 14,Day 14,Jonathan,untreated
S5T1.2J,Skin,5,Tree1,Day 14,Day 14,Jonathan,untreated
S5T2.2J,Skin,5,Tree2,Day 14,Day 14,Jonathan,untreated
S5T3.2J,Skin,5,Tree3,Day 14,Day 14,Jonathan,untreated
P1T1.2M,Pulp,1,Tree1,Day 20,Day 20,Jonathan,Mock
P1T2.2M,Pulp,1,Tree2,Day 20,Day 20,Jonathan,Mock
P1T3.2M,Pulp,1,Tree3,Day 20,Day 20,Jonathan,Mock
P2T1.2M,Pulp,2,Tree1,Day 20,Day 20,Jonathan,Mock
P2T2.2M,Pulp,2,Tree2,Day 20,Day 20,Jonathan,Mock
P2T3.2M,Pulp,2,Tree3,Day 20,Day 20,Jonathan,Mock
P3T1.2M,Pulp,3,Tree1,Day 20,Day 20,Jonathan,Mock
P3T2.2M,Pulp,3,Tree2,Day 20,Day 20,Jonathan,Mock
P3T3.2M,Pulp,3,Tree3,Day 20,Day 20,Jonathan,Mock
S1T1.2M,Skin,1,Tree1,Day 20,Day 20,Jonathan,Mock
S1T2.2M,Skin,1,Tree2,Day 20,Day 20,Jonathan,Mock
S1T3.2M,Skin,1,Tree3,Day 20,Day 20,Jonathan,Mock
S2T1.2M,Skin,2,Tree1,Day 20,Day 20,Jonathan,Mock
S2T2.2M,Skin,2,Tree2,Day 20,Day 20,Jonathan,Mock
S2T3.2M,Skin,2,Tree3,Day 20,Day 20,Jonathan,Mock
S3T1.2M,Skin,3,Tree1,Day 20,Day 20,Jonathan,Mock
S3T2.2M,Skin,3,Tree2,Day 20,Day 20,Jonathan,Mock
S3T3.2M,Skin,3,Tree3,Day 20,Day 20,Jonathan,Mock
P1T1.3ch,Pulp,1,Tree1,Day 33,Day 33,Jonathan,Chitosanitosan
P1T2.3ch,Pulp,1,Tree2,Day 33,Day 33,Jonathan,Chitosanitosan
P1T3.3ch,Pulp,1,Tree3,Day 33,Day 33,Jonathan,Chitosanitosan
P2T1.3ch,Pulp,2,Tree1,Day 33,Day 33,Jonathan,Chitosanitosan
P2T2.3ch,Pulp,2,Tree2,Day 33,Day 33,Jonathan,Chitosanitosan
